graph_index,graph,n,initialization,editsWeight,usedIterations,actualPlateau,time,solved,solution_cost,time_exact,ratio
2547,bio-nr-2547-size-4,4,trivial,0,3,0,0.1597751397639513,True,0,0.000243075,1.0
2548,bio-nr-2548-size-8,8,trivial,98,3,0,0.20402995869517326,True,98,0.000693343,1.0
2549,bio-nr-2549-size-3,3,trivial,0,2,0,0.12521003372967246,True,0,0.000212157,1.0
2550,bio-nr-2550-size-8,8,trivial,0,2,0,0.15273108147084713,True,0,0.000256117,1.0
2551,bio-nr-2551-size-5,5,trivial,0,3,0,0.1547147985547781,True,0,0.00022679,1.0
2552,bio-nr-2552-size-11,11,trivial,0,3,0,0.18832390196621407,True,0,0.000315254,1.0
2553,bio-nr-2553-size-3,3,trivial,0,2,0,0.15143794007599354,True,0,0.00021135,1.0
2554,bio-nr-2554-size-3,3,trivial,0,2,0,0.12116390280425547,True,0,0.000191075,1.0
2555,bio-nr-2555-size-7,7,trivial,31,2,0,30.402692034840584,True,31,0.0008042689999999999,1.0
2556,bio-nr-2556-size-24,24,trivial,718,3,0,0.26296614669263363,True,718,0.004244308,1.0
2557,bio-nr-2557-size-10,10,trivial,173,3,0,0.17288979142904282,True,173,0.000928224,1.0
2558,bio-nr-2558-size-12,12,trivial,768,4,0,0.2260489854961633,True,768,0.001280774,1.0
2559,bio-nr-2559-size-18,18,trivial,487,3,0,0.2654129639267921,True,487,0.0014889929999999999,1.0
2560,bio-nr-2560-size-8,8,trivial,0,2,0,0.15790481120347974,True,0,0.00021887599999999998,1.0
2561,bio-nr-2561-size-6,6,trivial,0,2,0,0.16369996592402458,True,0,0.000234773,1.0
2562,bio-nr-2562-size-10,10,trivial,124,2,0,0.1799650490283966,True,124,0.0007414539999999999,1.0
2563,bio-nr-2563-size-3,3,trivial,0,2,0,0.12018904089927672,True,0,0.00018549900000000002,1.0
2564,bio-nr-2564-size-4,4,trivial,0,3,0,20.62527392990887,True,0,0.0002352,1.0
2565,bio-nr-2565-size-6,6,trivial,95,3,0,0.16206386499106884,True,95,0.000784129,1.0
2566,bio-nr-2566-size-38,38,trivial,13929,3,0,0.4409698303788901,True,13929,0.756683845,1.0
2567,bio-nr-2567-size-16,16,trivial,1667,3,0,0.21987687796354294,True,1667,0.001627835,1.0
2568,bio-nr-2568-size-14,14,trivial,396,3,0,0.22753793746232984,True,396,0.00185047,1.0
2569,bio-nr-2569-size-15,15,editing,1815,2,0,36.96078201755881,True,1815,0.005919476999999999,1.0
2570,bio-nr-2570-size-11,11,trivial,39,3,0,0.1957619097083807,True,39,0.0008304580000000001,1.0
2571,bio-nr-2571-size-16,16,random_insert,936,3,0,0.2630481030791998,True,936,0.007166707,1.0
2572,bio-nr-2572-size-5,5,trivial,0,2,0,0.1250430941581726,True,0,0.000209085,1.0
2573,bio-nr-2573-size-5,5,trivial,0,3,0,0.14890986494719982,True,0,0.00023957,1.0
2574,bio-nr-2574-size-5,5,trivial,40,2,0,0.15670200809836388,True,40,0.000779211,1.0
2575,bio-nr-2575-size-7,7,trivial,0,3,0,0.17625000327825546,True,0,0.00023995400000000001,1.0
2576,bio-nr-2576-size-3,3,trivial,0,2,0,0.14946889132261276,True,0,0.00020109099999999998,1.0
2577,bio-nr-2577-size-12,12,trivial,621,3,0,0.18772087059915066,True,621,0.001041896,1.0
2578,bio-nr-2578-size-3,3,trivial,0,2,0,0.11991197243332866,True,0,0.000218725,1.0
2579,bio-nr-2579-size-28,28,editing,8077,5,0,52.782987011596575,True,8077,0.736544393,1.0
2580,bio-nr-2580-size-8,8,trivial,382,4,0,0.18937001004815104,True,382,0.0008457569999999999,1.0
